word,weight,,
service,0.7391304347826086,,
service’,0.5,,
services,0.25,,
serving,0.09090909090909091,,
setting,0,,
seven,0.5,,
several,0.2,,
sexually,0,,
shadows,0,,
shame,0.6,,
shape,0.7142857142857143,,
share,0.13043478260869565,,
shared,0.5,,
she,0.019417475728155338,,
she’s,0.07692307692307693,,
shirley,0.5,,
shoes,0.6,,
short,0.2,,
shortchange,0.5,,
shot,0.5555555555555556,,
should,0.6338028169014085,,
shouldn’t,0.7142857142857143,,
show,0.043478260869565216,,
showed,0.6666666666666666,,
showing,0.6666666666666666,,
shown,0.75,,
sick,0.5,,
side,0.2727272727272727,,
sidelines,0.5,,
signing,0,,
similar,0.2,,
simply,0.42857142857142855,,
single,0.28,,
sister,0.7142857142857143,,
situation,0.25,,
six,0,,
size,0.6,,
skill,0.14285714285714285,,
skills,0.6,,
slightest,0.5,,
slogan,0.6666666666666666,,
slots,0,,
small,0.36363636363636365,,
smart,0.6666666666666666,,
so,0.39299610894941633,,
soaring,0,,
social,0.2,,
sold,0,,
solutions,0.2,,
some,0.4482758620689655,,
somebody,0.5555555555555556,,
somehow,0.5,,
someone,0.875,,
something,0.8048780487804879,,
sometimes,0.2,,
son,0.5,,
sons,0.5,,
sophia,0.5,,
sorry,0.5,,
sort,0.5,,
source,0.2,,
south,0.42857142857142855,,
speak,0.5,,
speech,0.1111111111111111,,
spent,0.06666666666666667,,
spirit,0.6,,
spoke,0.16666666666666666,,
spread,0,,
st,0.6,,
staff,0,,
staffers,0,,
stake,0.8461538461538461,,
stakes,0.5,,
stamina,0.2,,
stand,0.4,,
standards,0,,
star,0.6,,
start,0.09090909090909091,,
started,0.6923076923076923,,
starting,0.42857142857142855,,
stay,0.5714285714285714,,
stayed,0.7142857142857143,,
steady,0.6,,
step,0.5,,
stick,0.5,,
still,0.7419354838709677,,
stock,0.5,,
stood,0.7142857142857143,,
store,0,,
stories,0.6,,
story,0.7142857142857143,,
strategies,0,,
strategy,0.6666666666666666,,
strength,0.2857142857142857,,
strengths,0.5,,
strickland,0.5,,
strong,0,,
stronger,0.75,,
stronger,0.6,,
struggled,0.5,,
struggling,0.1111111111111111,,
stuck,0.5,,
student,0.45454545454545453,,
studies,0,,
study,0,,
stuff,0,,
subminimum,0.5,,
success,0,,
such,0.125,,
suffering,0,,
sunday,0,,
supporter,0.5,,
supporters,0.14285714285714285,,
supporting,0.5384615384615384,,
suppose,0.6,,
sure,0.696969696969697,,
surround,0.5,,
sybrina,0.5,,
systemic,0.6666666666666666,,
table,0.6,,
taken,0.14285714285714285,,
talent,0.5,,
talents,0.5,,
talk,0.2413793103448276,,
talking,0.2,,
talks,0.2,,
tall,0,,
tape,0.6666666666666666,,
taught,0.5,,
teach,0.5,,
teacher,0.5,,
teachers,0.7142857142857143,,
teaching,0.5,,
tear,0.6,,
tearing,0.6,,
tears,0.6,,
ted,0.6666666666666666,,
teenager,0.5,,
tell,0.5348837209302325,,
telling,0.14285714285714285,,
tells,0.2,,
temperament,0.6,,
temple,0.6666666666666666,,
tens,0.14285714285714285,,
terence,0.5,,
terms,0,,
terrific,0.5,,
than,0.20408163265306123,,
thank,0.35135135135135137,,
thanks,0.7142857142857143,,
that’s,0.8666666666666667,,
them,0.07913669064748201,,
